# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
2182.6090896; 127.3248830; -94.7542217; -0.5050889; -0.0127802; 21.2888966; 3.5649637
2184.6078159; 128.3162479; -93.0124728; -0.5293749; -0.0114551; 21.6210058; 3.8682348
2186.6065421; 129.3434291; -91.3000628; -0.5507483; -0.0099871; 21.9756906; 4.0790347
2188.6052684; 130.4065855; -89.6052216; -0.5691524; -0.0082605; 22.3436059; 4.2646440
2190.6039947; 131.4971981; -87.9288381; -0.5837921; -0.0065123; 22.7218933; 4.5389189
2192.6027210; 132.6098563; -86.2677578; -0.5964953; -0.0061961; 23.1177107; 4.7141846
2194.6014472; 133.7426873; -84.6209552; -0.6084264; -0.0056318; 23.5217618; 4.8775267
2196.6001735; 134.8934577; -82.9876985; -0.6189126; -0.0048677; 23.9326338; 5.0666152
2198.5988998; 136.0608607; -81.3646933; -0.6279640; -0.0041860; 24.3520947; 5.1687898
2200.5976260; 137.2414995; -79.7519727; -0.6357222; -0.0036431; 24.7726968; 5.2670266
2202.5963523; 138.4335541; -78.1483133; -0.6425794; -0.0032274; 25.1940706; 5.2770963
2204.5950786; 139.6366603; -76.5516557; -0.6488566; -0.0030521; 25.6092979; 5.2863535
2206.5938049; 140.8491445; -74.9628170; -0.6547858; -0.0028850; 26.0186104; 5.2965293
2208.5925311; 142.0705710; -73.3812510; -0.6603887; -0.0027281; 26.4223525; 5.2375069
2210.5912574; 143.3010684; -71.8060444; -0.6659479; -0.0028339; 26.8156185; 5.2428190
2212.5899837; 144.5403348; -70.2379811; -0.6716813; -0.0028721; 27.2035901; 5.2484737
2214.5887100; 145.7885824; -68.6770429; -0.6774005; -0.0028509; 27.5865155; 5.1923541
2216.5874362; 147.0457772; -67.1231428; -0.6830684; -0.0028203; 27.9601865; 5.1970319
2218.5861625; 148.3116606; -65.5764166; -0.6886749; -0.0027902; 28.3292590; 5.2018342
2220.5848888; 149.5861324; -64.0367953; -0.6942223; -0.0027608; 28.6939193; 5.1493753
2222.5836150; 150.8691305; -62.5041729; -0.6997135; -0.0027337; 29.0503939; 5.1530515
2224.5823413; 152.1604574; -60.9786151; -0.7051511; -0.0027080; 29.4027969; 5.1568068
2226.5810676; 153.4600172; -59.4600757; -0.7105393; -0.0026836; 29.7512782; 5.1074813
2228.5797939; 154.7677201; -57.9485081; -0.7158774; -0.0026578; 30.0924487; 5.1102955
2230.5785201; 156.0834251; -56.4439211; -0.7211675; -0.0026392; 30.4299792; 5.1132032
2232.5772464; 157.4070563; -54.9462883; -0.7264308; -0.0026267; 30.7639955; 5.0666520
2234.5759727; 158.7385021; -53.4556158; -0.7316242; -0.0025700; 31.0914316; 5.0707902
2236.5746990; 160.0775813; -51.9717907; -0.7366688; -0.0024447; 31.4157184; 5.0750807
2238.5734252; 161.4239045; -50.4945010; -0.7413655; -0.0022534; 31.7369620; 5.0379061
2240.5721515; 162.7767943; -49.0232732; -0.7455771; -0.0019610; 32.0526684; 5.0433333
2242.5708778; 164.1354568; -47.5573379; -0.7491979; -0.0016560; 32.3656304; 5.0481888
2244.5696040; 165.4989674; -46.0959012; -0.7521911; -0.0013397; 32.6758922; 4.9656071
2246.5683303; 166.8663937; -44.6381490; -0.7545908; -0.0010615; 32.9782308; 4.9302063
2248.5670566; 168.2369178; -43.1833021; -0.7564530; -0.0008193; 33.2756964; 4.8949174
2250.5657829; 169.6098246; -41.7307072; -0.7578826; -0.0006120; 33.5684252; 4.7879233
2252.5645091; 170.9845397; -40.2798199; -0.7589635; -0.0004695; 33.8523067; 4.7546112
2254.5632354; 172.3606187; -38.8302267; -0.7597727; -0.0003528; 34.1318766; 4.7213326
2256.5619617; 173.7377184; -37.3816111; -0.7603858; -0.0002611; 34.4072420; 4.6230021
2258.5606879; 175.1155965; -35.9337231; -0.7608505; -0.0002039; 34.6747536; 4.5921541
2260.5594142; 176.4940630; -34.4864014; -0.7612069; -0.0001584; 34.9384524; 4.5612528
2262.5581405; 177.8729841; -33.0395225; -0.7614891; -0.0001241; 35.1984211; 4.4710435
2264.5568668; 179.2522794; -31.5929830; -0.7617170; -0.0001039; 35.4513981; 4.4424948
2266.5555930; 180.6318714; -30.1467351; -0.7619068; -0.0000882; 35.7009845; 4.4138164
2268.5543193; 182.0117142; -28.7007355; -0.7620715; -0.0000766; 35.9472435; 4.3307234
2270.5530456; 183.3917894; -27.2549405; -0.7622182; -0.0000702; 36.1872377; 4.3041894
2272.5517719; 184.7720634; -25.8093439; -0.7623528; -0.0000653; 36.4241948; 4.2774650
2274.5504981; 186.1525222; -24.3639315; -0.7624798; -0.0000618; 36.6581632; 4.2005482
2276.5492244; 187.5331682; -22.9186825; -0.7626017; -0.0000601; 36.8864802; 4.1757699
2278.5479507; 188.9139839; -21.4736036; -0.7627204; -0.0000589; 37.1120582; 4.1507539
2280.5466769; 190.2949666; -20.0286906; -0.7628375; -0.0000582; 37.3349341; 4.0792255
2282.5454032; 191.6761243; -18.5839319; -0.7629538; -0.0000582; 37.5526806; 4.0559863
2284.5441295; 193.0574467; -17.1393373; -0.7630701; -0.0000583; 37.7679418; 4.0324731
2286.5428558; 194.4389349; -15.6949063; -0.7631870; -0.0000587; 37.9807458; 3.9656800
